,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source,source_ord
7249,7249,2005,5.0,commercial,1231.0,5,55.0,5,1935,23.6,30.1,36.4,7460.86,gas,2
7250,7250,2005,7.0,residential,464.0,3,12.0,3,2001,23.5,30.5,35.3,1011.39,oil,3
7251,7251,2010,5.0,commercial,615.0,6,172.0,5,1998,23.8,29.1,36.1,2854.22,oil,3
7252,7252,2014,7.0,commercial,129.0,1,337.0,2,1952,24.1,30.0,35.7,253.56,oil,3
7253,7253,2013,2.0,commercial,252.0,8,337.0,5,1976,12.2,20.1,26.8,944.94,gas,2
7254,7254,2014,5.0,commercial,1105.0,7,117.0,6,1966,22.5,30.0,35.9,8597.45,oil,3
7255,7255,2007,8.0,office,331.0,1,55.0,19,1964,20.5,29.4,34.7,7395.86,elec,1
7256,7256,2010,9.0,commercial,547.0,2,172.0,1,1923,21.4,26.8,32.2,496.16,gas,2
7257,7257,2006,8.0,commercial,425.0,8,117.0,3,1956,23.4,29.3,36.5,1253.07,oil,3
7258,7258,2009,9.0,commercial,1105.0,7,117.0,6,1966,20.8,26.2,33.2,12552.98,elec,1
7259,7259,2009,10.0,factory,520.0,7,117.0,2,1964,17.0,22.6,29.0,781.34,oil,3
7260,7260,2013,1.0,education,403.0,5,337.0,6,1954,6.9,14.3,23.2,2392.66,gas,2
7261,7261,2012,11.0,education,857.0,8,37.0,6,1966,13.3,18.5,22.7,2341.3,gas,2
7262,7262,2012,5.0,education,471.0,8,117.0,3,2001,21.9,28.6,34.7,1124.18,oil,3
7263,7263,2014,5.0,education,493.0,2,51.0,2,1993,25.2,28.9,34.1,1676.36,elec,1
7264,7264,2007,7.0,commercial,301.0,2,337.0,3,1992,22.0,31.0,36.1,867.75,oil,3
7265,7265,2009,2.0,education,545.0,5,19.0,4,2002,10.5,19.9,27.0,2055.88,oil,3
7266,7266,2014,3.0,residential,648.0,8,172.0,29,1937,16.3,23.9,30.2,7172.38,gas,2
7267,7267,2012,6.0,commercial,252.0,8,337.0,5,1976,26.0,31.1,37.0,1169.53,oil,3
7268,7268,2012,11.0,factory,579.0,7,337.0,1,1929,13.5,19.6,25.5,587.28,elec,1
7269,7269,2011,6.0,office,1122.0,6,37.0,27,1958,22.4,30.9,38.6,27173.72,oil,3
7270,7270,2013,3.0,office,1260.0,6,55.0,4,1937,14.9,23.2,28.8,5362.56,elec,1
7271,7271,2013,1.0,residential,293.0,8,172.0,28,1972,8.4,15.4,22.3,3296.04,gas,2
7272,7272,2007,7.0,education,608.0,1,203.0,6,1950,22.7,30.2,36.7,5393.2,elec,1
7273,7273,2014,9.0,factory,452.0,5,-7.0,2,1939,22.3,27.9,34.5,368.07,oil,3
7274,7274,2014,2.0,office,577.0,6,203.0,3,1941,13.9,19.8,24.2,1287.86,gas,2
7275,7275,2010,2.0,commercial,372.0,6,55.0,3,1997,12.6,18.6,24.6,1113.99,gas,2
7276,7276,2007,12.0,education,488.0,6,172.0,4,2006,7.7,14.5,22.4,2754.66,elec,1
7277,7277,2008,9.0,office,1266.0,6,37.0,29,1952,22.5,26.8,33.0,23900.81,gas,2
7278,7278,2012,3.0,education,545.0,5,19.0,4,2002,17.3,24.2,29.6,1745.39,oil,3
7279,7279,2007,12.0,education,650.0,1,12.0,2,1999,7.5,14.9,22.0,1218.67,gas,2
7280,7280,2008,2.0,commercial,656.6619098651926,4,117.0,4,2009,12.3,18.8,26.8,1809.44,oil,3
7281,7281,2010,7.0,education,420.0,1,12.0,6,1925,22.3,30.1,38.0,2165.49,gas,2
7282,7282,2005,1.0,commercial,301.0,7,12.0,2,1920,9.7,15.5,23.1,600.92,gas,2
7283,7283,2008,8.0,office,649.0,3,172.0,9,2008,21.5,28.8,34.9,7948.43,elec,1
7284,7284,2009,5.0,education,254.0,1,337.0,3,1963,25.1,29.5,37.2,820.22,oil,3
7285,7285,2007,6.0,commercial,844.0,3,-7.0,2,1996,23.6,29.9,35.5,2263.0,elec,1
7286,7286,2008,7.0,factory,833.0,2,117.0,4,1935,25.0,30.8,37.5,1533.89,gas,2
7287,7287,2005,11.0,factory,953.0,2,-7.0,1,1982,14.1,19.5,,836.54,elec,1
7288,7288,2010,12.0,office,582.0,4,37.0,3,1975,8.1,14.4,22.5,2223.82,oil,3
7289,7289,2008,8.0,factory,388.0,2,337.0,1,1941,21.1,28.6,33.6,322.66,elec,1
7290,7290,2008,6.0,office,1249.0,6,12.0,9,1940,24.8,30.4,37.4,10083.18,oil,3
7291,7291,2006,12.0,commercial,1105.0,7,117.0,6,1966,5.8,14.2,23.7,6948.97,gas,2
7292,7292,2014,5.0,office,659.0,7,117.0,22,1920,26.1,30.2,40.8,13428.77,oil,3
7293,7293,2012,3.0,commercial,157.0,6,12.0,3,1921,14.3,23.1,28.5,664.68,elec,1
7294,7294,2014,7.0,education,420.0,1,12.0,6,1925,22.1,30.1,36.0,2067.06,gas,2
7295,7295,2006,9.0,education,312.0,1,-7.0,1,1941,20.8,26.4,34.0,207.17,gas,2
7296,7296,2008,11.0,office,439.0,8,117.0,9,1987,12.8,18.7,24.6,3798.97,elec,1
7297,7297,2008,12.0,factory,407.0,4,-7.0,4,1979,8.2,14.8,21.6,1507.69,elec,1
7298,7298,2007,3.0,commercial,803.0,6,203.0,4,1964,18.0,23.3,28.2,3914.73,oil,3
7299,7299,2007,7.0,commercial,553.0,4,12.0,2,2001,25.6,30.2,36.3,1268.14,oil,3
7300,7300,2012,12.0,residential,594.0,8,337.0,26,1994,8.1,15.2,20.8,16690.78,oil,3
7301,7301,2012,6.0,office,258.0,4,117.0,11,1950,23.6,31.3,37.5,3170.61,elec,1
7302,7302,2007,6.0,residential,486.0,2,-7.0,17,2006,26.1,29.8,37.4,5741.92,oil,3
7303,7303,2011,2.0,office,649.0,3,172.0,9,2008,14.3,20.2,25.9,325.93,gas,2
7304,7304,2012,10.0,education,656.6619098651926,8,117.0,3,2001,17.3,23.1,29.6,2205.77,elec,1
7305,7305,2014,9.0,commercial,539.0,6,172.0,4,2009,20.6,25.8,,2354.35,oil,3
7306,7306,2013,12.0,residential,623.0,1,51.0,26,1999,9.1,14.399999999999999,19.7,4851.541864684603,elec,1
7307,7307,2013,8.0,office,176.0,6,55.0,24,1972,23.7,29.0,33.9,5203.97,elec,1
7308,7308,2014,4.0,office,1210.0,1,117.0,7,2004,18.7,25.7,30.9,10435.04,elec,1
7309,7309,2012,8.0,factory,452.0,5,-7.0,2,1939,24.4,29.5,35.3,506.1,oil,3
7310,7310,2012,6.0,commercial,213.0,1,172.0,3,1960,25.2,30.8,36.6,669.74,gas,2
7311,7311,2010,11.0,office,623.0,2,172.0,8,1974,15.1,19.7,25.6,5833.27,elec,1
7312,7312,2005,6.0,commercial,524.0,6,117.0,3,1929,25.2,30.1,34.7,1630.79,oil,3
7313,7313,2005,12.0,commercial,657.0,5,337.0,1,1964,6.5,14.1,23.7,872.24,gas,2
7314,7314,2009,10.0,residential,615.0,2,203.0,7,1961,16.4,24.1,31.8,4139.78,oil,3
7315,7315,2010,1.0,commercial,435.0,6,203.0,6,1925,6.8,15.7,22.8,2605.3,gas,2
7316,7316,2005,5.0,factory,937.0,3,37.0,4,1969,24.1,28.7,37.8,2833.49,elec,1
7317,7317,2011,7.0,education,812.0,7,337.0,3,2008,23.3,29.4,34.1,3765.08,elec,1
7318,7318,2010,6.0,education,1527.0,5,117.0,3,1983,26.2,30.6,35.4,7003.43,elec,1
7319,7319,2007,10.0,office,1260.0,6,55.0,4,1937,17.7,23.0,31.0,5080.32,elec,1
7320,7320,2007,3.0,commercial,290.0,2,51.0,4,2003,19.2,23.5,31.8,1814.2,oil,3
7321,7321,2005,11.0,factory,379.0,2,117.0,1,1973,12.0,18.8,24.3,367.71,elec,1
7322,7322,2014,11.0,residential,317.0,6,12.0,23,1945,11.2,19.5,29.3,7289.2,oil,3
7323,7323,2010,7.0,commercial,547.0,6,37.0,5,1992,24.0,29.7,35.0,4717.33,elec,1
7324,7324,2005,4.0,office,479.0,1,203.0,27,1973,19.5,26.9,35.7,12955.18,oil,3
7325,7325,2008,6.0,office,1266.0,6,37.0,29,1952,23.8,30.7,37.1,39063.7,elec,1
7326,7326,2011,4.0,commercial,1265.0,7,117.0,3,1971,21.3,26.9,33.8,7527.46,elec,1
7327,7327,2010,10.0,education,320.0,2,203.0,5,1944,19.2,23.3,29.9,2956.8,elec,1
7328,7328,2014,2.0,commercial,489.0,6,37.0,2,1934,14.9,19.7,26.1,933.79,gas,2
7329,7329,2014,1.0,commercial,439.0,3,19.0,5,1958,9.0,15.6,22.7,3127.9,oil,3
7330,7330,2009,12.0,residential,954.0,8,117.0,27,1943,7.0,15.3,22.6,24912.52,elec,1
7331,7331,2005,8.0,residential,233.0,7,51.0,12,1949,23.9,29.8,37.4,3403.18,elec,1
7332,7332,2011,7.0,commercial,657.0,2,19.0,5,1972,22.4,29.8,37.5,3763.82,gas,2
7333,7333,2014,8.0,education,473.0,2,337.0,5,1995,20.9,28.8,36.0,2129.07,gas,2
7334,7334,2008,4.0,factory,452.0,5,-7.0,2,1939,19.3,27.0,33.4,754.76,gas,2
7335,7335,2005,5.0,office,575.0,4,172.0,14,1940,23.5,29.6,35.5,5240.55,gas,2
7336,7336,2006,10.0,education,425.0,5,-7.0,4,1932,15.9,23.8,28.1,1682.18,gas,2
7337,7337,2009,2.0,office,659.0,7,117.0,22,1920,13.3,18.7,29.5,4851.541864684603,oil,3
7338,7338,2013,11.0,commercial,776.0,7,117.0,3,2002,14.4,19.1,24.9,2904.76,gas,2
7339,7339,2005,9.0,office,430.0,6,55.0,14,2001,21.5,27.2,33.4,4460.82,oil,3
7340,7340,2009,2.0,commercial,635.0,2,12.0,5,2008,12.6,20.7,31.5,5476.24,elec,1
7341,7341,2009,9.0,commercial,622.0,3,51.0,1,1966,21.5,25.4,33.6,877.77,elec,1
7342,7342,2005,3.0,residential,163.0,1,12.0,21,1989,17.4,24.1,30.1,2882.21,oil,3
7343,7343,2005,7.0,commercial,657.0,5,337.0,1,1964,27.3,31.0,35.5,592.97,oil,3
7344,7344,2005,11.0,factory,641.0,6,337.0,5,1963,11.4,20.6,28.4,3096.03,elec,1
7345,7345,2012,10.0,residential,233.0,7,51.0,12,1949,12.4,22.5,30.7,3403.18,elec,1
7346,7346,2007,5.0,commercial,452.0,5,-7.0,2,1939,24.5,29.1,35.3,460.09,oil,3
7347,7347,2005,4.0,commercial,240.0,3,37.0,5,1957,22.3,26.8,33.8,907.2,elec,1
7348,7348,2012,8.0,commercial,290.0,2,51.0,4,2003,24.5,29.1,34.7,1162.95,gas,2
7349,7349,2009,4.0,education,399.0,5,12.0,4,1975,18.7,27.4,34.3,1494.6,oil,3
7350,7350,2008,5.0,office,285.0,7,55.0,8,1932,22.2,29.2,36.6,2113.33,gas,2
7351,7351,2011,4.0,factory,368.0,7,-7.0,1,1932,20.1,25.7,32.5,226.31,gas,2
7352,7352,2009,1.0,education,442.0,5,337.0,5,1922,9.4,15.6,20.5,2823.2,oil,3
7353,7353,2007,8.0,factory,579.0,7,337.0,1,1929,23.1,29.7,37.3,340.58,gas,2
7354,7354,2011,5.0,commercial,854.0,4,337.0,1,1936,23.0,28.8,34.3,630.08,gas,2
7355,7355,2012,8.0,education,493.0,2,51.0,2,1993,24.2,28.9,35.9,1749.24,elec,1
7356,7356,2011,11.0,education,1862.0,8,19.0,6,1945,11.6,19.5,28.4,13726.89,oil,3
7357,7357,2011,9.0,office,1122.0,6,37.0,27,1958,19.9,27.0,33.0,40715.14,elec,1
7358,7358,2013,7.0,office,741.0,2,55.0,9,2004,23.6,31.1,39.4,7805.4,elec,1
7359,7359,2012,6.0,education,338.0,4,117.0,5,2007,22.0,31.2,41.7,1328.75,oil,3
7360,7360,2006,11.0,education,493.0,2,51.0,2,1993,14.4,19.3,27.7,1469.33,oil,3
7362,7362,2012,2.0,office,489.0,2,19.0,18,2005,12.4,19.8,28.5,5702.82,gas,2
7363,7363,2009,4.0,education,1919.0,3,37.0,6,1962,21.8,26.9,32.6,13927.33,elec,1
7364,7364,2014,3.0,commercial,1265.0,7,117.0,3,1971,19.4,23.4,29.0,5976.11,oil,3
7365,7365,2010,1.0,office,460.0,3,12.0,16,1981,10.9,15.9,22.3,7907.41,oil,3
7366,7366,2006,7.0,factory,937.0,3,37.0,4,1969,23.2,30.9,37.9,1874.66,oil,3
7367,7367,2009,10.0,commercial,213.0,1,172.0,3,1960,16.0,23.6,31.0,869.55,oil,3
7368,7368,2009,2.0,office,123.0,5,12.0,23,1963,13.7,19.7,27.4,2915.99,gas,2
7369,7369,2006,11.0,education,1862.0,8,19.0,6,1945,13.0,20.1,25.8,17440.12,elec,1
7370,7370,2014,5.0,residential,313.0,3,-7.0,7,1978,20.8,29.1,33.7,2285.83,elec,1
7371,7371,2006,5.0,commercial,277.0,2,12.0,5,2009,19.5,28.0,34.2,2508.29,elec,1
7372,7372,2012,4.0,commercial,551.0,1,203.0,3,1927,19.4,25.9,32.3,1355.89,gas,2
7373,7373,2006,7.0,residential,239.0,5,37.0,18,1998,21.9,30.5,37.8,3831.22,gas,2
7374,7374,2007,4.0,office,549.0,8,19.0,3,1972,16.5,25.8,32.5,808.74,gas,2
7375,7375,2007,11.0,commercial,941.0,3,117.0,4,1954,12.0,19.6,26.1,4831.05,oil,3
7376,7376,2012,12.0,office,1292.0,1,37.0,5,1992,6.8,14.5,,9101.33,oil,3
7377,7377,2013,3.0,commercial,589.0,2,12.0,2,1956,17.6,24.0,31.9,1068.52,gas,2
7378,7378,2006,7.0,education,338.0,4,117.0,5,2007,22.8,29.299999999999997,35.8,2384.93,elec,1
7379,7379,2007,1.0,office,968.0,3,-7.0,3,1965,10.9,14.8,22.7,3291.23,oil,3
7380,7380,2014,12.0,factory,3888.0,8,172.0,1,1963,9.2,15.1,21.6,3628.44,elec,1
7381,7381,2011,10.0,education,585.0,8,12.0,3,1924,17.3,23.7,28.8,2858.77,elec,1
7383,7383,2013,7.0,commercial,360.0,3,12.0,3,1948,24.6,30.7,36.0,1676.51,elec,1
7384,7384,2007,6.0,education,545.0,5,19.0,4,2002,24.2,29.6,36.0,2265.01,gas,2
7385,7385,2008,5.0,commercial,547.0,7,203.0,1,1979,23.8,28.5,38.2,1232.94,elec,1
7386,7386,2011,2.0,education,837.0,5,203.0,3,1934,9.4,19.8,26.1,2981.97,oil,3
7387,7387,2005,5.0,factory,987.0,5,203.0,2,1934,23.5,29.7,35.3,1659.82,elec,1
7388,7388,2012,5.0,education,1919.0,3,37.0,6,1962,23.8,28.7,35.8,10669.33,oil,3
7389,7389,2010,12.0,commercial,290.0,2,-7.0,5,1981,7.8,14.1,22.3,2311.29,oil,3
7390,7390,2013,4.0,commercial,844.0,3,-7.0,2,1996,22.2,26.9,32.1,158.24,gas,2
7391,7391,2011,9.0,office,843.0,4,203.0,4,1941,20.2,27.2,33.6,2195.17,gas,2
7392,7392,2009,7.0,office,649.0,3,172.0,9,2008,24.3,30.7,37.6,4510.42,oil,3
7393,7393,2014,7.0,factory,788.0,4,117.0,6,1998,21.7,28.5,35.2,2198.52,gas,2
7394,7394,2013,8.0,residential,1172.0,8,12.0,2,1997,26.0,29.9,37.8,3221.61,elec,1
7395,7395,2005,12.0,commercial,489.0,6,37.0,2,1934,8.2,14.8,23.1,1981.79,oil,3
7396,7396,2014,6.0,commercial,1029.0,5,117.0,4,1956,22.7,30.4,36.6,4514.09,gas,2
7397,7397,2013,4.0,commercial,5947.0,6,12.0,2,1996,19.9,27.0,33.8,11356.39,gas,2
7398,7398,2008,10.0,factory,349.0,6,172.0,3,1958,17.2,23.2,30.5,462.51,gas,2
7399,7399,2009,4.0,residential,228.0,1,55.0,22,1960,19.1,26.5,,2938.87,gas,2
7400,7400,2011,8.0,commercial,635.0,2,12.0,5,2008,20.8,28.3,35.0,5476.24,elec,1
7401,7401,2013,1.0,commercial,339.0,1,12.0,1,1926,10.2,15.1,21.2,453.91,oil,3
7402,7402,2013,10.0,office,423.0,7,37.0,4,1991,14.8,23.9,33.8,2029.3,oil,3
7403,7403,2012,4.0,factory,819.0,3,37.0,6,2006,21.8,26.6,31.9,4643.73,elec,1
7404,7404,2006,1.0,office,659.0,7,117.0,22,1920,9.9,14.9,23.9,4851.541864684603,elec,1
7405,7405,2013,8.0,commercial,836.0,2,12.0,3,1971,22.0,29.8,35.5,2634.1,gas,2
7406,7406,2010,8.0,office,479.0,1,203.0,27,1973,22.8,29.5,35.3,10592.13,oil,3
7407,7407,2005,4.0,education,349.0,1,55.0,3,2003,19.5,26.0,34.2,1407.17,elec,1
7408,7408,2009,7.0,factory,306.0,6,337.0,5,1989,21.8,29.9,37.2,675.88,gas,2
7409,7409,2008,2.0,education,256.0,7,37.0,2,1946,15.0,19.6,24.1,959.24,oil,3
7410,7410,2014,9.0,commercial,372.0,6,55.0,3,1997,21.5,26.3,32.5,1065.56,gas,2
7411,7411,2012,1.0,education,299.0,6,37.0,5,1936,10.8,15.7,24.7,2109.74,elec,1
7412,7412,2005,9.0,education,814.0,1,55.0,5,1935,21.9,26.8,33.5,7111.1,elec,1
7413,7413,2008,5.0,factory,1515.0,3,117.0,6,1934,24.0,29.1,34.2,5982.36,oil,3
7414,7414,2012,9.0,office,331.0,1,55.0,19,1964,18.6,26.8,34.5,5557.35,oil,3
7415,7415,2008,1.0,office,279.0,6,12.0,18,1945,9.0,15.6,24.6,6356.96,oil,3
7416,7416,2012,4.0,education,439.0,1,19.0,6,1989,19.1,26.2,31.7,2160.56,gas,2
7417,7417,2013,3.0,factory,520.0,7,117.0,2,1964,18.5,24.35,30.2,1026.26,oil,3
7418,7418,2009,7.0,commercial,339.0,1,37.0,4,2009,25.5,31.3,38.9,1554.79,oil,3
7419,7419,2005,5.0,factory,306.0,6,337.0,5,1989,24.4,29.8,36.6,1029.31,oil,3
7420,7420,2005,10.0,office,460.0,3,12.0,16,1981,17.8,23.1,30.4,492.83,gas,2
7421,7421,2012,4.0,education,594.0,8,203.0,3,1936,19.7,26.5,34.8,2539.91,elec,1
7422,7422,2009,9.0,office,331.0,1,55.0,19,1964,21.4,27.1,34.4,7748.05,elec,1
7423,7423,2013,9.0,factory,923.0,8,12.0,3,1975,20.3,27.6,35.8,1066.12,gas,2
7424,7424,2009,3.0,factory,368.0,7,-7.0,1,1932,19.3,24.1,28.8,216.47,gas,2
7425,7425,2012,8.0,factory,641.0,6,337.0,5,1963,24.2,29.950000000000003,35.7,2692.2,elec,1
7426,7426,2013,6.0,residential,350.0,3,19.0,22,1963,21.8,29.6,35.1,425.36,gas,2
7427,7427,2006,6.0,office,493.0,1,51.0,28,1995,25.8,30.9,37.4,9690.41,oil,3
7428,7428,2009,4.0,commercial,429.0,8,51.0,1,1963,17.8,27.4,33.9,781.31,elec,1
7429,7429,2011,5.0,office,1203.0,8,172.0,17,1963,21.7,30.0,,18344.55,oil,3
7430,7430,2013,7.0,commercial,596.0,1,337.0,6,1984,21.4,30.1,34.1,3709.74,oil,3
7431,7431,2011,3.0,education,488.0,6,172.0,4,2006,13.7,23.7,29.7,2623.49,elec,1
7432,7432,2009,7.0,education,812.0,7,337.0,3,2008,25.9,30.6,33.3,3953.34,elec,1
7433,7433,2013,6.0,commercial,1178.0,4,117.0,3,1930,25.9,30.7,36.3,4141.14,gas,2
7434,7434,2005,10.0,factory,218.0,3,203.0,1,1971,19.8,24.1,28.4,131.85,elec,1
7435,7435,2005,10.0,office,968.0,3,-7.0,3,1965,17.0,24.2,29.5,2304.65,oil,3
7436,7436,2014,7.0,factory,579.0,7,337.0,1,1929,23.7,30.6,38.1,387.03,gas,2
7437,7437,2010,10.0,education,388.0,4,172.0,2,1936,18.0,23.4,30.5,1040.34,elec,1
7438,7438,2013,1.0,commercial,657.0,5,203.0,24,1999,8.9,14.6,20.5,16070.75,elec,1
7439,7439,2012,9.0,commercial,1128.0,6,172.0,1,2008,20.9,26.8,31.5,1416.54,oil,3
7440,7440,2009,6.0,education,403.0,5,337.0,6,1954,24.3,31.1,36.9,2273.03,gas,2
7441,7441,2014,4.0,commercial,313.0,3,-7.0,7,1978,20.5,26.8,32.7,2087.06,elec,1
7442,7442,2006,6.0,commercial,1492.0,4,172.0,2,1991,24.0,31.2,36.3,4276.82,oil,3
7443,7443,2014,12.0,residential,1068.0,1,12.0,11,1946,6.8,14.5,22.1,13026.18,elec,1
7444,7444,2012,11.0,commercial,741.0,2,55.0,9,2004,15.1,19.0,24.2,5230.5,gas,2
7445,7445,2010,2.0,education,351.0,6,117.0,1,1979,13.6,19.4,24.2,462.5,oil,3
7446,7446,2008,3.0,commercial,5947.0,6,12.0,2,1996,18.2,24.2,29.2,11872.59,gas,2
7447,7447,2006,8.0,commercial,215.0,4,37.0,6,1981,23.2,28.3,34.3,1553.07,oil,3
7448,7448,2008,10.0,residential,179.0,3,12.0,7,1978,17.6,23.2,32.3,59.78,gas,2
7449,7449,2008,11.0,education,565.0,5,117.0,5,2006,13.0,19.4,27.1,3214.7,gas,2
7450,7450,2005,4.0,commercial,252.0,8,337.0,5,1976,21.7,28.35,35.0,2494.3,elec,1
7451,7451,2010,10.0,commercial,608.0,1,203.0,6,1950,19.0,23.1,28.2,3562.27,gas,2
7452,7452,2005,10.0,education,451.0,1,337.0,5,1993,16.2,23.5,28.8,2878.97,oil,3
7453,7453,2011,6.0,residential,317.0,6,203.0,28,1999,23.3,30.6,35.3,5200.45,gas,2
7454,7454,2010,7.0,commercial,442.0,1,172.0,5,1953,23.0,30.3,37.6,4504.86,elec,1
7455,7455,2012,10.0,education,2447.0,8,19.0,6,1943,16.6,23.5,32.7,7864.85,gas,2
7456,7456,2008,11.0,residential,530.0,3,19.0,17,2007,13.1,20.0,27.1,10626.03,elec,1
7457,7457,2008,10.0,residential,863.0,5,19.0,4,1940,15.8,22.4,28.7,3324.77,elec,1
7458,7458,2006,5.0,commercial,1178.0,4,117.0,3,1930,22.6,28.4,35.2,4052.08,oil,3
7459,7459,2007,7.0,commercial,339.0,1,37.0,4,2009,23.7,30.6,36.4,1050.48,gas,2
7460,7460,2005,12.0,education,647.0,7,51.0,6,1995,9.2,14.7,19.7,6742.51,oil,3
7461,7461,2010,10.0,office,399.0,5,37.0,15,1922,16.8,23.8,30.2,7014.9,elec,1
7462,7462,2008,1.0,commercial,656.6619098651926,6,117.0,3,1929,5.9,14.8,20.1,2341.65,elec,1
7463,7463,2007,11.0,commercial,854.0,4,337.0,1,1936,10.3,18.5,24.1,1680.11,oil,3
7464,7464,2012,6.0,commercial,429.0,8,51.0,1,1963,24.5,30.1,35.3,398.2,oil,3
7465,7465,2010,12.0,commercial,429.0,8,51.0,1,1963,7.7,15.2,21.1,335.13,gas,2
7466,7466,2006,2.0,factory,923.0,8,12.0,3,1975,11.4,17.1,22.8,2129.8,oil,3
7467,7467,2005,1.0,office,279.0,6,12.0,18,1945,8.0,15.2,22.6,2802.28,gas,2
7468,7468,2005,4.0,commercial,657.0,6,-7.0,1,1963,21.2,26.9,33.3,598.79,gas,2
7469,7469,2011,1.0,education,299.0,6,37.0,5,1936,11.5,15.6,19.9,2430.34,oil,3
7470,7470,2008,10.0,commercial,378.0,3,117.0,5,1922,18.5,24.9,29.6,3200.6,elec,1
7471,7471,2007,12.0,commercial,435.0,6,203.0,6,1925,6.7,15.4,20.8,4262.64,oil,3
7472,7472,2006,2.0,education,471.0,8,117.0,3,2001,12.8,19.9,27.4,1534.45,elec,1
7473,7473,2014,3.0,commercial,589.0,2,12.0,2,1956,18.3,23.0,28.5,1124.75,gas,2
7474,7474,2007,10.0,office,373.0,8,203.0,16,1940,13.1,23.1,28.4,5941.46,oil,3
7475,7475,2005,9.0,commercial,372.0,6,55.0,3,1997,23.0,27.1,32.1,1065.56,gas,2
7476,7476,2006,2.0,commercial,1265.0,7,117.0,3,1971,11.8,19.5,25.7,8553.93,elec,1
7477,7477,2010,6.0,commercial,252.0,8,337.0,5,1976,24.6,30.2,36.3,905.57,gas,2
7478,7478,2014,12.0,office,956.0,2,51.0,13,2002,9.5,15.1,20.7,8052.1,gas,2
7479,7479,2005,7.0,residential,686.0,3,172.0,18,1950,24.7,30.5,38.1,744.14,gas,2
7480,7480,2009,10.0,commercial,1265.0,7,117.0,3,1971,17.0,23.1,28.4,6620.26,oil,3
7481,7481,2009,9.0,commercial,615.0,6,172.0,5,1998,22.7,27.2,33.3,5303.76,elec,1
7482,7482,2011,4.0,factory,833.0,2,117.0,4,1935,18.6,27.2,32.4,1959.97,gas,2
7483,7483,2014,10.0,education,837.0,5,203.0,3,1934,17.3,23.2,27.4,2917.5,elec,1
7484,7484,2012,9.0,commercial,1178.0,4,117.0,3,1930,20.7,26.8,32.5,3527.64,gas,2
7485,7485,2012,4.0,education,1013.0,4,117.0,6,1977,20.0,25.8,32.1,9863.86,elec,1
7486,7486,2007,5.0,commercial,2080.0,2,117.0,6,2006,23.8,29.5,37.7,11320.11,gas,2
7487,7487,2011,9.0,factory,268.0,8,37.0,2,1963,19.4,26.8,30.2,179.45,gas,2
7488,7488,2013,1.0,residential,313.0,3,-7.0,7,1978,7.8,14.7,21.7,1987.68,elec,1
7489,7489,2010,1.0,education,442.0,5,337.0,5,1922,10.3,15.6,21.5,2296.18,gas,2
7490,7490,2010,2.0,commercial,599.0,8,337.0,1,1948,16.1,19.9,27.0,997.51,oil,3
7491,7491,2008,7.0,education,299.0,6,37.0,5,1936,25.8,30.3,36.0,1259.39,oil,3
7492,7492,2009,6.0,office,331.0,1,55.0,19,1964,22.7,29.9,35.2,4503.55,gas,2
7493,7493,2012,10.0,residential,615.0,2,203.0,7,1961,18.6,23.8,29.0,4773.38,elec,1
7494,7494,2008,6.0,office,741.0,2,55.0,9,2004,25.4,31.0,36.3,9037.83,elec,1
7495,7495,2006,10.0,education,608.0,1,203.0,6,1950,18.8,23.1,28.3,4217.11,oil,3
7496,7496,2014,1.0,commercial,448.0,1,-7.0,6,1987,8.6,14.2,19.3,5130.02,oil,3
7497,7497,2014,1.0,factory,240.0,3,37.0,5,1957,4.5,14.9,21.8,907.2,elec,1
7498,7498,2005,1.0,commercial,1492.0,4,172.0,2,1991,10.4,15.1,20.7,4103.86,oil,3
7499,7499,2006,12.0,factory,1515.0,3,117.0,6,1934,9.2,15.1,24.3,8403.54,oil,3
7500,7500,2009,10.0,residential,486.0,2,-7.0,17,2006,14.5,23.1,28.1,6578.65,oil,3
7501,7501,2007,3.0,education,173.0,6,51.0,6,1999,18.8,23.3,28.8,1604.33,elec,1
7502,7502,2005,1.0,education,594.0,8,203.0,3,1936,10.7,15.2,22.8,954.58,gas,2
7503,7503,2012,11.0,commercial,854.0,4,337.0,1,1936,10.9,19.3,25.6,1546.1,oil,3
7504,7504,2009,5.0,factory,287.0,8,203.0,5,1923,23.7,29.1,36.1,552.5,gas,2
7505,7505,2014,4.0,residential,954.0,8,117.0,27,1943,21.5,27.0,32.7,7761.4,gas,2
7506,7506,2009,12.0,education,156.0,3,-7.0,3,1978,6.6,14.6,22.4,593.2,oil,3
7507,7507,2014,10.0,residential,379.0,8,19.0,27,1941,17.1,24.5,32.8,4522.33,gas,2
7508,7508,2010,4.0,commercial,277.0,2,12.0,5,2009,19.4,26.3,33.8,1803.58,oil,3
7509,7509,2007,3.0,commercial,1178.0,4,117.0,3,1930,17.0,24.0,31.7,5133.99,oil,3
7510,7510,2009,7.0,education,488.0,6,172.0,4,2006,23.4,30.9,39.9,2492.31,elec,1
7511,7511,2009,6.0,office,123.0,5,12.0,23,1963,25.1,31.1,40.0,1727.78,oil,3
7512,7512,2009,5.0,commercial,1707.0,4,172.0,6,2006,22.4,28.5,35.8,16019.31,elec,1
