measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
3493,2011,7.0,commercial,813.0,3,12.0,4,1961,24.0,30.9,37.5,3036.26,oil
3494,2005,2.0,commercial,635.0,2,12.0,5,2008,12.7,19.6,29.1,5202.43,elec
3495,2011,6.0,office,249.0,6,337.0,3,1940,23.8,29.9,34.5,962.14,elec
3496,2007,7.0,residential,661.0,5,-7.0,12,1938,24.6,30.5,37.9,4844.39,oil
3497,2005,2.0,factory,520.0,7,117.0,2,1964,13.3,19.5,25.0,998.04,oil
3498,2005,11.0,factory,987.0,5,203.0,2,1934,13.2,19.3,27.2,1220.82,gas
3499,2014,6.0,commercial,1003.0,4,-7.0,6,1994,23.8,30.1,38.0,6900.24,oil
3500,2007,3.0,education,457.0,4,37.0,6,1961,14.2,22.8,30.1,1734.04,gas
3501,2008,4.0,,641.0,6,337.0,5,1963,22.1,26.9,31.9,1862.91,gas
3502,2007,10.0,commercial,2080.0,2,117.0,6,2006,17.7,23.7,29.3,13107.49,gas
3503,2005,1.0,education,471.0,8,117.0,3,2001,7.2,14.8,21.0,1918.06,elec
3504,2009,11.0,education,480.0,4,51.0,2,1951,12.1,18.7,26.0,857.09,gas
3505,2011,4.0,residential,179.0,3,12.0,7,1978,20.0,26.7,32.1,831.23,oil
3506,2013,3.0,office,623.0,2,172.0,8,1974,19.1,24.3,29.4,4422.09,oil
3507,2009,10.0,education,451.0,1,337.0,5,1993,17.7,23.5,,2727.65,elec
3508,2007,3.0,,357.0,7,337.0,6,1921,18.1,23.5,31.1,2138.14,gas
3509,2006,7.0,factory,349.0,6,172.0,3,1958,21.8,30.4,36.0,791.53,elec
3510,2008,10.0,residential,800.0,7,203.0,2,1978,17.2,23.5,27.9,1026.72,gas
3511,2009,7.0,,1571.0,5,-7.0,6,1990,24.0,30.5,38.1,11969.93,gas
3512,2011,10.0,office,435.0,6,117.0,9,1990,17.9,23.3,28.9,4823.28,elec
3513,2011,6.0,commercial,539.0,6,172.0,4,2009,22.8,31.0,38.3,3380.61,elec
3514,2013,5.0,commercial,854.0,4,337.0,1,1936,19.9,29.6,36.9,1195.12,elec
3515,2012,4.0,commercial,524.0,6,117.0,3,1929,19.4,27.0,32.7,1296.27,gas
3516,2010,12.0,commercial,588.0,2,12.0,4,1963,6.4,14.4,21.1,3979.89,oil
3517,2010,3.0,commercial,388.0,4,37.0,3,1970,17.5,22.9,28.3,1111.39,gas
3518,2005,7.0,factory,788.0,4,117.0,6,1998,21.9,29.8,36.3,3049.38,oil
3519,2005,1.0,residential,623.0,1,51.0,26,1999,10.2,15.3,21.5,10439.45,gas
3520,2011,6.0,commercial,635.0,2,12.0,5,2008,25.5,30.0,34.1,5476.24,elec
3521,2007,2.0,office,464.0,5,55.0,18,1947,10.8,19.1,26.2,10214.83,elec
3522,2010,2.0,commercial,425.0,8,117.0,3,1956,12.8,19.8,28.3,756.98,gas
3523,2012,11.0,factory,452.0,5,-7.0,2,1939,14.8,20.1,27.9,829.22,elec
3524,2006,8.0,office,277.0,1,172.0,10,1928,22.0,29.2,34.6,2376.66,oil
3525,2008,11.0,office,285.0,7,55.0,8,1932,14.6,20.1,26.7,2578.12,oil
3526,2010,2.0,commercial,836.0,2,12.0,3,1971,13.9,20.5,26.3,4346.74,oil
3527,2008,12.0,commercial,301.0,7,12.0,2,1920,8.0,14.9,23.9,1193.07,oil
3528,2007,2.0,commercial,260.0,4,117.0,4,2009,13.4,18.6,24.5,1541.03,elec
3529,2010,10.0,commercial,305.0,2,55.0,4,1997,17.7,23.1,28.6,2314.68,elec
3530,2014,12.0,commercial,290.0,2,51.0,4,2003,7.9,14.9,21.8,1107.57,gas
3531,2013,8.0,commercial,184.0,4,-7.0,2,1926,24.0,29.5,33.9,464.14,oil
3532,2013,5.0,commercial,1105.0,7,117.0,6,1966,20.7,28.8,,6287.16,gas
3533,2010,4.0,residential,163.0,1,12.0,21,1989,21.0,26.6,34.2,4140.46,elec
3534,2012,7.0,factory,388.0,2,337.0,1,1941,25.7,30.3,36.9,394.36,elec
3535,2007,9.0,,800.0,7,203.0,2,1978,18.7,27.2,32.5,1026.72,gas
3536,2005,12.0,commercial,351.0,3,203.0,5,1946,6.3,14.8,20.9,2757.63,oil
3537,2014,11.0,commercial,,2,337.0,3,1992,14.7,,27.9,1515.19,oil
3538,2014,5.0,factory,287.0,8,203.0,5,1923,23.0,29.1,35.0,456.42,gas
3539,2014,1.0,office,549.0,8,19.0,3,1972,7.9,15.0,20.2,1821.78,oil
3540,2009,6.0,commercial,,6,37.0,5,1992,24.9,30.2,39.1,3733.27,oil
3541,2013,12.0,commercial,442.0,1,172.0,5,1953,11.5,15.9,22.8,3620.95,oil
3542,2010,4.0,education,173.0,6,51.0,6,1999,22.1,27.1,32.9,1185.81,elec
3543,2006,2.0,commercial,1492.0,4,172.0,2,1991,15.0,19.5,23.6,5158.5,elec
3544,2007,10.0,education,861.0,7,19.0,5,2003,16.4,22.8,29.0,5776.76,oil
3545,2010,5.0,office,493.0,1,51.0,28,1995,21.9,29.1,35.3,17779.55,elec
3546,2012,8.0,education,156.0,3,-7.0,3,1978,21.9,28.7,35.6,394.24,oil
3547,2011,4.0,commercial,624.0,6,55.0,6,1978,21.2,27.3,34.3,3574.77,gas
3548,2006,9.0,commercial,553.0,4,12.0,2,2001,20.9,25.4,31.3,1104.01,gas
3549,2010,8.0,commercial,489.0,6,37.0,2,1934,22.1,29.4,40.6,976.24,gas
3550,2010,11.0,education,857.0,8,37.0,6,1966,15.0,19.7,26.7,7408.52,oil
3551,2010,1.0,residential,379.0,8,19.0,27,1941,7.5,15.3,24.4,12501.62,elec
3552,2010,3.0,office,373.0,8,203.0,16,1940,17.6,23.7,35.1,2930.53,gas
3553,2008,1.0,education,457.0,4,37.0,6,1961,6.0,14.5,21.2,2346.06,gas
3554,2012,8.0,commercial,139.0,7,117.0,6,1928,21.3,28.5,32.6,1252.25,oil
3555,2014,1.0,residential,686.0,3,172.0,18,1950,10.7,15.5,19.8,589.11,gas
3556,2011,3.0,education,457.0,4,37.0,6,1961,17.9,24.2,30.7,3869.51,elec
3557,2008,5.0,commercial,854.0,4,337.0,1,1936,23.8,29.9,33.4,1476.33,elec
3558,2011,5.0,education,814.0,1,55.0,5,1935,22.2,28.7,34.2,4571.42,oil
3559,2008,12.0,education,351.0,6,117.0,1,1979,9.2,14.7,21.8,274.2,gas
3560,2008,4.0,commercial,139.0,7,117.0,6,1928,19.8,26.5,31.0,1234.83,oil
3561,2009,9.0,factory,323.0,5,117.0,3,1963,21.9,27.0,32.1,479.42,gas
3562,2014,11.0,office,225.0,6,19.0,23,1946,12.4,18.7,24.5,6375.6,elec
3563,2010,3.0,education,814.0,1,55.0,5,1935,17.1,23.6,29.3,3656.41,gas
3564,2011,7.0,education,861.0,7,19.0,5,2003,22.0,30.3,37.7,6653.81,elec
3565,2010,11.0,office,976.0,3,19.0,26,2001,11.7,19.8,27.5,1628.38,gas
3566,2012,7.0,commercial,844.0,3,-7.0,2,1996,26.2,30.4,36.4,2977.63,elec
3567,2011,5.0,residential,3228.0,3,-7.0,5,1944,22.1,29.2,36.4,11216.98,oil
3568,2005,3.0,factory,579.0,7,337.0,1,1929,18.9,23.6,28.3,430.65,oil
3569,2010,2.0,education,,5,12.0,4,1975,12.2,18.9,25.3,1756.77,elec
3570,2011,9.0,commercial,813.0,3,12.0,4,1961,21.2,,34.4,3835.28,oil
3571,2013,11.0,office,430.0,6,55.0,14,2001,10.9,19.1,24.7,3919.02,gas
3572,2011,4.0,commercial,912.0,6,172.0,6,1951,24.0,28.5,34.7,5975.42,oil
3573,2014,4.0,commercial,975.0,2,12.0,3,1994,22.2,26.7,31.3,3689.19,oil
3574,2011,12.0,factory,923.0,8,12.0,3,1975,9.6,15.5,20.5,834.36,gas
3575,2013,6.0,education,493.0,2,51.0,2,1993,23.0,30.1,36.3,887.64,gas
3576,2014,7.0,education,1114.0,4,51.0,4,1924,26.3,30.8,39.4,3481.03,gas
3577,2007,3.0,commercial,615.0,6,172.0,5,1998,17.3,23.5,28.0,2268.74,gas
3578,2013,2.0,office,1203.0,8,172.0,17,1963,14.3,19.7,26.0,17511.07,oil
3579,2009,1.0,education,187.0,1,172.0,4,2002,9.5,14.9,19.6,642.77,gas
3580,2011,12.0,education,1013.0,4,117.0,6,1977,7.6,15.4,22.6,3617.63,gas
3581,2010,7.0,education,1527.0,5,117.0,3,1983,24.2,30.9,36.3,3730.4,oil
3582,2005,8.0,education,388.0,4,172.0,2,1936,23.0,28.5,35.0,1204.6,elec
3583,2013,9.0,commercial,836.0,2,12.0,3,1971,20.3,26.4,36.0,2634.1,gas
3584,2006,10.0,,290.0,2,-7.0,5,1981,18.2,23.5,31.0,3001.15,elec
3585,2010,1.0,residential,464.0,3,12.0,3,2001,8.6,15.6,24.2,1394.7,oil
3586,2011,11.0,office,479.0,1,203.0,27,1973,13.5,19.4,25.2,10103.26,gas
3587,2014,5.0,education,608.0,1,203.0,6,1950,24.0,29.6,37.5,2992.31,gas
3588,2008,1.0,factory,497.0,3,51.0,6,1957,9.5,15.2,21.4,2479.83,elec
3589,2009,4.0,commercial,941.0,3,117.0,4,1954,22.2,26.5,31.1,308.75,gas
3590,2008,12.0,commercial,323.0,1,117.0,5,1927,7.4,15.8,20.2,3165.4,elec
3591,2009,3.0,residential,394.0,1,37.0,11,1940,16.8,23.9,31.8,3591.79,oil
3592,2014,11.0,residential,954.0,8,117.0,27,1943,13.8,19.4,25.9,25042.83,oil
3593,2009,10.0,commercial,1029.0,5,117.0,4,1956,17.0,23.7,30.0,4514.09,gas
3594,2010,8.0,office,575.0,4,172.0,14,1940,22.8,29.1,33.9,4491.9,gas
3595,2009,11.0,,411.0,8,19.0,4,1987,12.0,19.9,27.2,2343.21,elec
3596,2008,8.0,education,814.0,1,55.0,5,1935,24.7,28.4,32.9,4000.0,oil
3597,2010,1.0,commercial,5947.0,6,12.0,2,1996,9.7,,18.9,23001.54,oil
3598,2012,6.0,factory,987.0,5,203.0,2,1934,25.3,30.7,36.5,1735.26,elec
3599,2007,3.0,education,260.0,4,55.0,5,1979,17.6,23.7,35.3,2018.02,elec
3600,2012,9.0,commercial,1554.0,4,37.0,1,1995,20.7,26.9,34.4,1483.76,gas
3601,2009,10.0,residential,594.0,8,337.0,26,1994,16.7,23.4,30.7,18081.71,elec
3602,2009,1.0,education,403.0,5,337.0,6,1954,10.7,16.6,22.6,2963.97,oil
3603,2010,11.0,office,487.0,1,51.0,2,1934,13.3,19.2,25.4,989.31,oil
3604,2009,11.0,education,420.0,1,12.0,6,1925,12.4,19.0,27.6,2165.49,gas
3605,2012,12.0,residential,924.0,7,203.0,25,1931,6.7,15.0,21.5,34937.8,oil
3606,2014,7.0,office,489.0,2,19.0,18,2005,26.0,30.2,39.1,13555.08,elec
3607,2011,9.0,,378.0,3,117.0,5,1922,21.1,27.5,32.4,2800.53,elec
3608,2011,9.0,office,430.0,6,55.0,14,2001,20.0,26.9,32.2,3732.4,gas
3609,2005,6.0,commercial,1492.0,4,172.0,2,1991,23.1,30.3,36.6,3934.67,oil
3610,2008,6.0,commercial,941.0,3,117.0,4,1954,24.5,30.3,35.3,6639.7,elec
3611,2009,9.0,commercial,836.0,2,12.0,3,1971,20.3,28.3,32.8,2753.83,gas
3612,2007,12.0,residential,648.0,8,172.0,29,1937,9.8,15.0,20.5,22001.52,elec
3613,2009,4.0,office,399.0,5,37.0,15,1922,23.3,27.6,33.1,4264.49,oil
3614,2012,2.0,commercial,596.0,1,337.0,6,1984,13.5,21.0,28.6,6167.88,elec
3615,2012,11.0,factory,407.0,4,-7.0,4,1979,13.2,19.6,25.8,719.17,gas
3616,2013,4.0,commercial,539.0,6,172.0,4,2009,22.5,26.7,31.7,3549.64,elec
3617,2006,1.0,office,1266.0,6,37.0,29,1952,4.8,14.3,23.6,43175.66,elec
3618,2007,9.0,office,623.0,2,172.0,8,1974,21.8,26.5,34.3,4703.9,oil
3619,2008,9.0,office,921.0,6,51.0,27,1979,19.1,27.7,35.2,20048.94,oil
3620,2008,4.0,commercial,232.0,5,172.0,3,1976,18.0,,,715.45,oil
3621,2007,2.0,residential,982.0,8,55.0,28,1959,15.5,19.8,26.2,29392.78,elec
3622,2006,11.0,education,837.0,5,203.0,3,1934,13.8,19.4,28.5,2733.15,gas
3623,2013,8.0,residential,405.0,2,203.0,19,1982,23.5,29.2,34.5,9385.44,elec
3624,2013,1.0,commercial,657.0,6,-7.0,1,1963,11.3,15.3,23.1,927.16,elec
3625,2005,7.0,commercial,589.0,2,12.0,2,1956,25.8,30.5,35.0,1625.45,elec
3626,2005,4.0,education,451.0,1,337.0,5,1993,18.7,26.7,31.6,2919.18,oil
3627,2009,1.0,office,172.0,1,19.0,23,1947,8.3,13.7,23.2,4430.72,elec
3628,2011,2.0,education,529.0,1,55.0,4,1974,13.1,20.3,26.3,2916.3,oil
3629,2007,8.0,commercial,657.0,2,19.0,5,1972,24.3,29.8,35.9,8215.65,elec
3630,2009,3.0,commercial,734.0,3,337.0,6,1952,16.2,23.2,29.3,481.66,gas
3631,2005,10.0,office,659.0,7,117.0,22,1920,14.1,22.6,28.2,17739.75,elec
3632,2011,7.0,office,1218.0,5,172.0,23,1959,25.0,31.0,36.6,18059.79,oil
3633,2010,4.0,commercial,435.0,6,203.0,6,1925,19.8,27.9,33.2,4297.1,elec
3634,2014,9.0,factory,287.0,8,203.0,5,1923,21.6,26.2,31.1,755.53,oil
3635,2007,10.0,factory,923.0,8,12.0,3,1975,18.1,24.3,29.6,1205.18,gas
3636,2007,3.0,residential,317.0,6,12.0,23,1945,18.2,24.4,,4862.37,oil
3637,2007,2.0,education,299.0,6,37.0,5,1936,9.9,19.3,25.6,2009.28,elec
3638,2007,10.0,,615.0,6,172.0,5,1998,16.6,23.4,32.0,2936.01,gas
3639,2011,1.0,commercial,1492.0,4,172.0,2,1991,9.2,13.6,22.1,2590.11,gas
3640,2006,5.0,commercial,539.0,6,172.0,4,2009,25.3,29.9,36.2,,oil
3641,2005,9.0,residential,924.0,7,203.0,25,1931,19.9,26.6,33.0,17046.76,gas
3642,2009,10.0,office,123.0,5,12.0,23,1963,16.4,23.4,33.4,2566.07,gas
3643,2012,4.0,education,187.0,1,172.0,4,2002,20.1,27.1,34.8,1206.37,elec
3644,2010,6.0,commercial,129.0,1,337.0,2,1952,24.3,,36.7,199.87,gas
3645,2007,2.0,education,1107.0,4,203.0,4,1927,13.8,18.9,23.8,5826.89,oil
3646,2009,12.0,commercial,615.0,6,172.0,5,1998,7.7,14.1,20.3,2802.56,gas
3647,2009,10.0,education,299.0,6,37.0,5,1936,16.4,22.9,27.6,945.44,gas
3648,2012,8.0,commercial,230.0,6,203.0,4,1967,23.7,29.0,33.8,1004.64,oil
3649,2007,8.0,commercial,524.0,6,117.0,3,1929,21.0,28.9,35.4,2834.63,elec
3650,2005,10.0,residential,615.0,2,203.0,7,1961,16.5,23.8,33.1,2906.65,gas
3651,2009,8.0,residential,982.0,8,55.0,28,1959,22.0,28.7,34.3,36391.07,elec
3652,2007,8.0,,317.0,6,12.0,23,1945,24.6,,,7349.33,elec
3653,2013,9.0,commercial,1029.0,5,117.0,4,1956,19.3,26.7,32.0,4301.4,oil
3654,2008,9.0,office,976.0,3,19.0,26,2001,19.9,27.1,33.3,21742.16,elec
3655,2013,3.0,office,1296.0,3,12.0,20,2008,17.6,23.6,28.2,1735.6,gas
3656,2014,9.0,residential,924.0,7,203.0,25,1931,20.9,27.3,36.3,20270.25,oil
3657,2010,12.0,factory,306.0,6,337.0,5,1989,10.4,14.8,20.4,1184.46,oil
3658,2007,5.0,office,423.0,7,37.0,4,1991,21.7,29.7,33.7,1146.08,gas
3659,2012,3.0,residential,530.0,3,19.0,17,2007,15.1,24.0,30.6,7765.18,elec
3660,2008,7.0,commercial,831.0,8,172.0,2,1933,23.7,29.9,34.5,,gas
3661,2014,2.0,commercial,941.0,3,117.0,4,1954,12.0,19.1,23.8,6639.7,elec
3662,2006,2.0,commercial,877.0,2,55.0,2,1984,12.5,19.5,28.5,2722.77,elec
3663,2009,7.0,commercial,1231.0,5,55.0,5,1935,25.0,30.3,36.8,7904.2,elec
3664,2005,5.0,factory,218.0,4,37.0,6,1990,21.6,28.8,35.2,729.86,gas
3665,2009,8.0,commercial,367.0,2,-7.0,6,1974,23.2,28.4,35.2,5127.31,elec
3666,2006,8.0,residential,1186.0,3,117.0,5,1999,24.1,29.0,33.3,327.59,gas
3667,2012,4.0,commercial,558.0,2,117.0,3,1938,20.2,26.4,33.0,1598.34,gas
3668,2007,10.0,commercial,596.0,1,337.0,6,1984,18.7,24.2,30.7,6448.24,elec
3669,2014,3.0,education,581.0,7,337.0,5,1984,18.4,23.3,29.8,4082.36,oil
3670,2013,7.0,commercial,558.0,2,117.0,3,1938,25.2,30.5,,1678.25,gas
3671,2013,2.0,factory,497.0,3,51.0,6,1957,10.5,19.7,27.2,2070.08,oil
3672,2012,4.0,residential,239.0,5,37.0,18,1998,20.7,26.8,31.8,2758.77,oil
3673,2014,10.0,commercial,203.0,6,117.0,4,1953,15.9,22.9,29.9,810.54,gas
3674,2007,6.0,commercial,139.0,7,117.0,6,1928,24.8,31.5,39.5,1123.87,gas
3675,2010,11.0,commercial,1003.0,4,-7.0,6,1994,13.1,19.6,24.9,9908.04,elec
3676,2006,7.0,commercial,524.0,6,117.0,3,1929,25.5,30.5,35.9,1432.72,gas
3677,2008,12.0,commercial,877.0,2,55.0,2,1984,5.9,14.2,,3845.21,oil
3678,2010,10.0,commercial,301.0,2,337.0,3,1992,19.2,24.2,29.1,1284.05,oil
3679,2008,2.0,office,249.0,6,337.0,3,1940,14.7,19.6,26.1,807.8,oil
3680,2005,1.0,,473.0,2,337.0,5,1995,8.4,14.4,21.9,3875.92,oil
3681,2005,8.0,,854.0,4,337.0,1,1936,22.2,29.2,36.2,1419.83,oil
3682,2013,3.0,office,423.0,7,37.0,4,1991,16.5,23.3,30.1,1852.45,oil
3683,2007,10.0,factory,641.0,6,337.0,5,1963,16.9,22.8,26.6,1415.81,gas
3684,2012,8.0,education,425.0,5,-7.0,4,1932,23.9,29.1,37.1,1384.34,oil
3685,2006,12.0,office,649.0,3,172.0,9,2008,6.7,14.6,,374.82,gas
3686,2011,9.0,education,256.0,7,37.0,2,1946,21.4,25.7,31.0,658.94,oil
3687,2006,8.0,factory,407.0,4,-7.0,4,1979,23.7,29.5,36.8,794.87,gas
3688,2013,4.0,office,373.0,8,203.0,16,1940,21.2,27.3,,2930.53,gas
3689,2013,5.0,factory,243.0,8,19.0,2,1983,23.9,30.3,35.8,350.47,elec
3690,2006,6.0,office,279.0,6,12.0,18,1945,24.5,31.9,38.9,3917.16,oil
3691,2007,12.0,residential,486.0,2,-7.0,17,2006,6.4,14.2,23.1,11733.62,oil
3692,2010,10.0,office,1084.0,8,19.0,24,1924,20.5,24.3,31.0,30900.76,elec
3693,2014,2.0,education,837.0,5,203.0,3,1934,12.2,19.6,26.5,2742.74,oil
3694,2011,11.0,education,425.0,5,-7.0,4,1932,15.4,19.5,23.9,2018.62,gas
3695,2013,2.0,education,1013.0,4,117.0,6,1977,15.6,19.7,27.1,7719.55,elec
3696,2009,4.0,commercial,232.0,5,172.0,3,1976,19.9,26.0,32.9,883.84,gas
3697,2006,2.0,education,388.0,4,172.0,2,1936,15.1,19.8,31.6,1119.76,oil
3698,2010,10.0,factory,987.0,5,203.0,2,1934,18.2,,34.0,1508.93,elec
3699,2014,5.0,commercial,589.0,2,12.0,2,1956,20.8,29.2,35.5,1068.52,gas
3700,2009,12.0,education,411.0,4,172.0,2,1949,7.4,14.7,20.9,611.57,gas
3701,2011,5.0,office,649.0,3,172.0,9,2008,25.2,29.4,34.6,,gas
3702,2009,6.0,education,173.0,6,51.0,6,1999,23.9,30.0,37.6,733.66,gas
3703,2006,6.0,commercial,323.0,1,117.0,5,1927,23.5,30.8,38.9,1851.76,oil
3704,2006,6.0,,1068.0,1,12.0,11,1946,23.2,30.1,34.5,8247.1,oil
3705,2011,4.0,residential,1186.0,3,117.0,5,1999,18.5,26.5,31.5,3371.92,oil
3706,2013,5.0,factory,1272.0,2,19.0,3,1922,24.2,29.4,34.0,2578.38,oil
3707,2009,7.0,residential,1186.0,3,117.0,5,1999,25.2,30.9,35.7,5110.71,elec
3708,2005,1.0,education,585.0,8,12.0,3,1924,9.8,15.0,23.4,2514.86,oil
3709,2011,3.0,commercial,1265.0,7,117.0,3,1971,17.4,23.3,28.4,3598.76,gas
3710,2005,3.0,office,649.0,3,172.0,9,2008,15.7,23.6,29.5,6770.89,elec
3711,2010,1.0,education,488.0,6,172.0,4,2006,10.6,15.3,20.3,3344.27,oil
3712,2012,8.0,commercial,596.0,1,337.0,6,1984,21.9,28.3,33.2,2607.33,gas
3713,2007,7.0,factory,987.0,5,203.0,2,1934,23.8,29.8,36.1,954.43,oil
3714,2014,6.0,,129.0,1,337.0,2,1952,23.3,29.9,35.4,225.39,oil
3715,2008,11.0,commercial,334.0,8,37.0,4,2001,13.0,19.0,26.2,2124.76,oil
3716,2006,12.0,commercial,476.0,7,37.0,4,2003,6.8,14.2,19.7,1900.57,gas
3717,2007,11.0,office,279.0,6,12.0,18,1945,13.1,20.1,26.7,5343.41,elec
3718,2013,12.0,education,599.0,1,337.0,2,1946,9.7,15.4,22.4,,elec
3719,2007,1.0,education,837.0,5,203.0,3,1934,7.4,16.3,24.6,2732.51,oil
3720,2008,9.0,office,285.0,7,55.0,8,1932,22.2,27.1,33.5,2349.31,elec
3721,2005,9.0,residential,390.0,7,55.0,15,1933,17.5,26.1,34.0,6442.25,elec
3722,2006,5.0,office,529.0,2,117.0,26,1989,21.2,28.7,39.3,19486.67,elec
3723,2005,4.0,education,399.0,5,12.0,4,1975,20.0,26.0,33.3,1494.6,oil
3724,2010,6.0,office,423.0,7,37.0,4,1991,23.9,30.5,35.6,1025.44,gas
3725,2012,7.0,factory,520.0,7,117.0,2,1964,22.3,29.4,36.2,1004.64,elec
3726,2006,2.0,factory,323.0,5,117.0,3,1963,15.5,19.8,24.7,599.28,gas
3727,2014,9.0,education,493.0,2,51.0,2,1993,19.1,25.4,32.9,1049.35,oil
3728,2006,8.0,residential,1172.0,8,12.0,2,1997,23.1,29.2,34.3,1398.66,oil
3729,2009,2.0,commercial,1492.0,4,172.0,2,1991,9.7,19.5,24.9,,elec
3730,2007,12.0,office,1122.0,6,37.0,27,1958,10.6,,20.6,21599.62,gas
3731,2010,5.0,office,943.0,8,37.0,7,1925,23.5,28.6,35.2,6435.98,oil
3732,2013,10.0,office,956.0,2,51.0,13,2002,15.1,23.3,28.5,14664.07,oil
3733,2008,11.0,commercial,489.0,6,37.0,2,1934,10.3,19.1,26.5,891.35,gas
3734,2014,9.0,residential,177.0,5,337.0,25,1947,21.3,27.1,34.4,3243.03,oil
3735,2007,9.0,office,529.0,2,117.0,26,1989,22.6,27.2,34.4,11256.27,gas
3736,2013,10.0,,814.0,1,55.0,5,1935,13.5,23.9,33.9,5743.58,elec
3737,2007,8.0,commercial,451.0,2,12.0,2,1981,23.5,29.5,33.9,1789.14,elec
3738,2013,4.0,residential,623.0,1,51.0,26,1999,19.7,26.6,33.9,11371.0,oil
3739,2011,8.0,residential,228.0,1,55.0,22,1960,22.9,28.7,33.3,3085.82,gas
3740,2005,3.0,education,594.0,8,203.0,3,1936,15.1,23.4,31.1,1879.95,oil
3741,2011,3.0,commercial,284.0,1,172.0,2,1976,17.0,23.9,29.0,1113.28,elec
3742,2006,12.0,office,577.0,6,203.0,3,1941,8.0,15.4,,912.24,gas
3743,2010,10.0,office,1260.0,6,55.0,4,1937,16.7,23.4,27.7,4103.78,oil
3744,2006,8.0,office,331.0,1,55.0,19,1964,23.0,29.8,35.7,7395.86,elec
3745,2012,8.0,office,1249.0,6,12.0,9,1940,23.4,28.6,33.6,7317.89,gas
3746,2014,4.0,residential,258.0,3,51.0,9,1962,18.7,26.2,33.8,2317.17,elec
3747,2009,6.0,office,429.0,8,203.0,11,1927,22.9,31.0,37.7,2001.23,gas
3748,2009,5.0,commercial,339.0,1,37.0,4,2009,25.9,30.0,36.3,2126.21,elec
3749,2007,1.0,commercial,2080.0,2,117.0,6,2006,9.5,15.9,22.6,12511.7,gas
3750,2009,2.0,office,489.0,2,19.0,18,2005,12.9,20.1,28.6,10844.06,elec
3751,2010,11.0,factory,2362.0,6,117.0,6,2007,11.8,18.1,23.2,5930.98,gas
3752,2005,11.0,commercial,230.0,6,203.0,4,1967,13.5,19.1,24.4,1658.94,elec
3753,2009,6.0,factory,407.0,4,-7.0,4,1979,21.9,29.9,34.6,1292.31,elec
3754,2011,5.0,,439.0,3,19.0,5,1958,23.5,29.0,35.3,188.62,gas
3755,2010,7.0,office,429.0,8,203.0,11,1927,24.3,30.7,,5338.13,elec
3756,2011,6.0,factory,1272.0,2,19.0,3,1922,23.6,30.8,38.9,3702.28,elec
3757,2005,7.0,,831.0,8,172.0,2,1933,22.9,30.9,38.5,2763.68,elec
3758,2013,3.0,office,435.0,6,117.0,9,1990,17.0,23.2,32.1,3789.95,oil
3759,2010,7.0,commercial,831.0,8,172.0,2,1933,23.3,30.2,36.9,1996.39,oil
3760,2009,8.0,commercial,635.0,2,12.0,5,2008,21.6,29.3,34.8,,elec
3761,2009,11.0,commercial,877.0,2,55.0,2,1984,13.8,20.1,25.1,2093.4,gas
3762,2007,4.0,office,1292.0,1,37.0,5,1992,16.6,25.8,30.8,7958.72,elec
3763,2008,11.0,residential,591.0,5,-7.0,20,1964,15.0,,25.8,11403.72,gas
3764,2011,7.0,commercial,339.0,1,37.0,4,2009,23.6,30.0,34.2,1554.79,oil
3765,2014,1.0,education,399.0,5,12.0,4,1975,10.1,15.0,20.0,1895.13,gas
3766,2010,8.0,education,545.0,5,19.0,4,2002,17.8,27.5,34.5,1508.93,oil
3767,2008,6.0,education,1013.0,4,117.0,6,1977,26.1,,35.8,5200.34,gas
3768,2007,3.0,education,594.0,8,203.0,3,1936,18.1,24.3,33.9,1804.97,oil
3769,2006,6.0,residential,464.0,3,12.0,3,2001,23.8,29.6,34.8,879.47,oil
3770,2006,2.0,commercial,622.0,3,51.0,1,1966,11.5,19.6,24.1,48.59,gas
3771,2013,10.0,factory,3888.0,8,172.0,1,1963,17.8,22.6,26.9,1366.79,gas
3772,2010,2.0,education,338.0,4,117.0,5,2007,11.3,19.3,23.5,,gas
3773,2005,8.0,residential,686.0,3,172.0,18,1950,25.2,29.4,36.6,744.14,gas
3774,2011,10.0,office,176.0,6,55.0,24,1972,17.5,23.3,29.5,4494.34,elec
3775,2011,2.0,education,320.0,2,203.0,5,1944,10.9,19.8,26.7,1243.97,gas
3776,2007,5.0,factory,1272.0,2,19.0,3,1922,23.5,29.6,37.2,1854.29,gas
3777,2010,11.0,office,804.0,1,337.0,18,1995,12.3,20.0,27.2,12247.65,gas
3778,2012,4.0,,1554.0,4,37.0,1,1995,22.7,27.4,31.5,3198.13,elec
3779,2008,9.0,commercial,252.0,8,337.0,5,1976,23.5,27.0,32.4,2294.75,elec
3780,2006,2.0,education,837.0,5,203.0,3,1934,13.7,20.1,,2484.68,gas
3781,2012,10.0,factory,407.0,4,-7.0,4,1979,18.7,24.5,29.2,832.72,gas
3782,2010,10.0,education,222.0,4,117.0,2,1982,16.0,,29.7,689.23,elec
3783,2014,8.0,education,529.0,1,55.0,4,1974,17.7,29.2,33.7,2241.12,oil
3784,2009,9.0,factory,1515.0,3,117.0,6,1934,21.2,27.0,31.8,5264.47,oil
3785,2014,8.0,education,1013.0,4,117.0,6,1977,20.7,28.1,35.5,4748.13,gas
