,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
8481,8481,2008,5.0,office,487.0,1,51.0,2,1934,21.5,602.37,602.37,602.37,2
8482,8482,2008,11.0,education,425.0,5,-7.0,4,1932,12.7,1850.4,1850.4,1850.4,2
8483,8483,2012,3.0,education,351.0,6,117.0,1,1979,13.4,310.45,310.45,310.45,3
8484,8484,2011,9.0,commercial,547.0,6,37.0,5,1992,19.4,4502.9,4502.9,4502.9,1
8485,8485,2005,2.0,office,430.0,6,55.0,14,2001,12.8,7416.64,7416.64,7416.64,1
8486,8486,2013,9.0,office,479.0,1,203.0,27,1973,19.6,10939.15,10939.15,10939.15,3
8487,8487,2012,12.0,commercial,122.0,6,117.0,1,1997,5.9,200.86,200.86,200.86,1
8488,8488,2007,10.0,commercial,367.0,2,-7.0,6,1974,17.4,4367.71,4367.71,4367.71,1
8489,8489,2014,3.0,commercial,284.0,1,172.0,2,1976,18.1,712.5,712.5,712.5,1
8490,8490,2010,7.0,factory,497.0,3,51.0,6,1957,24.2,106.08,106.08,106.08,2
8491,8491,2007,10.0,commercial,539.0,6,172.0,4,2009,15.8,3050.89,3050.89,3050.89,3
8492,8492,2010,11.0,commercial,1128.0,6,172.0,1,2008,10.6,1759.9,1759.9,1759.9,3
8493,8493,2006,11.0,factory,268.0,8,37.0,2,1963,13.8,437.49,437.49,437.49,3
8494,8494,2013,4.0,office,1260.0,6,55.0,4,1937,21.4,5927.04,5927.04,5927.04,1
8495,8495,2005,7.0,factory,953.0,2,-7.0,1,1982,26.1,968.63,968.63,968.63,1
8496,8496,2009,4.0,commercial,230.0,6,203.0,4,1967,21.4,1255.8,1255.8,1255.8,3
8497,8497,2013,3.0,office,601.0,1,19.0,15,1934,19.2,10096.8,10096.8,10096.8,1
8498,8498,2005,8.0,education,1919.0,3,37.0,6,1962,25.5,15320.07,15320.07,15320.07,1
8499,8499,2014,8.0,residential,591.0,5,-7.0,20,1964,22.1,4851.541864684603,4851.541864684603,4851.541864684603,2
8500,8500,2007,5.0,office,1122.0,6,37.0,27,1958,20.4,35625.74,35625.74,35625.74,1
8501,8501,2011,6.0,commercial,657.0,2,19.0,5,1972,19.5,2979.69,2979.69,2979.69,2
8502,8502,2005,6.0,factory,497.0,3,51.0,6,1957,28.0,118.56,118.56,118.56,2
8503,8503,2005,3.0,commercial,1178.0,4,117.0,3,1930,16.2,3527.64,3527.64,3527.64,2
8504,8504,2006,2.0,education,525.0,8,117.0,1,1993,14.0,741.79,741.79,741.79,3
8505,8505,2010,1.0,office,549.0,8,19.0,3,1972,7.1,808.74,808.74,808.74,2
8506,8506,2012,7.0,education,173.0,6,51.0,6,1999,23.5,1604.33,1604.33,1604.33,1
8507,8507,2008,7.0,education,473.0,2,337.0,5,1995,23.6,3146.77,3146.77,3146.77,1
8508,8508,2012,10.0,education,585.0,8,12.0,3,1924,17.2,2070.52,2070.52,2070.52,3
8509,8509,2014,3.0,office,956.0,2,51.0,13,2002,18.2,13492.71,13492.71,13492.71,3
8510,8510,2009,6.0,factory,371.0,2,117.0,2,1945,23.0,754.17,754.17,754.17,1
8511,8511,2014,11.0,commercial,260.0,7,337.0,6,1929,10.5,2597.34,2597.34,2597.34,3
8512,8512,2009,7.0,commercial,501.0,8,117.0,6,2009,24.8,4760.54,4760.54,4760.54,1
8513,8513,2009,12.0,factory,349.0,6,172.0,3,1958,5.9,923.45,923.45,923.45,1
8514,8514,2009,6.0,office,460.0,3,12.0,16,1981,20.9,7418.88,7418.88,7418.88,1
8515,8515,2013,9.0,residential,800.0,7,203.0,2,1978,20.5,1684.8,1684.8,1684.8,3
8516,8516,2009,7.0,education,608.0,1,203.0,6,1950,21.5,3073.08,3073.08,3073.08,3
8517,8517,2010,1.0,residential,880.0,5,12.0,8,2000,8.1,5485.9,5485.9,5485.9,2
8518,8518,2013,3.0,education,488.0,6,172.0,4,2006,15.9,2106.16,2106.16,2106.16,3
8519,8519,2005,11.0,factory,520.0,7,117.0,2,1964,12.6,695.18,695.18,695.18,2
8520,8520,2011,11.0,office,804.0,1,337.0,18,1995,12.9,16208.64,16208.64,16208.64,1
8521,8521,2011,7.0,commercial,157.0,6,12.0,3,1921,25.4,429.27,429.27,429.27,2
8522,8522,2007,1.0,commercial,290.0,2,51.0,4,2003,8.6,2200.84,2200.84,2200.84,1
8523,8523,2013,5.0,factory,595.0,7,37.0,1,1999,24.0,603.51,603.51,603.51,1
8524,8524,2011,7.0,commercial,1492.0,4,172.0,2,1991,25.0,2460.61,2460.61,2460.61,2
8525,8525,2010,1.0,commercial,623.0,1,51.0,26,1999,8.5,18379.51,18379.51,18379.51,3
8526,8526,2013,12.0,education,488.0,6,172.0,4,2006,8.0,2827.3,2827.3,2827.3,3
8527,8527,2011,10.0,office,1418.0,5,12.0,20,1964,16.3,25724.22,25724.22,25724.22,2
8528,8528,2011,7.0,residential,460.0,7,55.0,21,1967,24.4,9324.32,9324.32,9324.32,3
8529,8529,2010,9.0,education,650.0,1,12.0,2,1999,19.3,1379.79,1379.79,1379.79,3
8530,8530,2012,12.0,commercial,290.0,2,-7.0,5,1981,8.5,1315.24,1315.24,1315.24,2
8531,8531,2011,4.0,education,599.0,1,337.0,2,1946,20.8,1065.26,1065.26,1065.26,3
8532,8532,2013,11.0,residential,486.0,2,-7.0,17,2006,10.1,8721.35,8721.35,8721.35,3
8533,8533,2011,8.0,commercial,1178.0,4,117.0,3,1930,22.6,3834.39,3834.39,3834.39,2
8534,8534,2010,10.0,residential,863.0,5,19.0,4,1940,13.5,3008.13,3008.13,3008.13,1
8535,8535,2011,8.0,education,911.0,5,172.0,1,1986,23.8,4851.541864684603,4851.541864684603,4851.541864684603,3
8536,8536,2011,12.0,factory,407.0,4,-7.0,4,1979,10.0,1579.49,1579.49,1579.49,1
8537,8537,2005,6.0,residential,449.0,1,337.0,29,1926,24.4,8226.67,8226.67,8226.67,3
8538,8538,2005,11.0,commercial,184.0,4,-7.0,2,1926,9.9,757.34,757.34,757.34,1
8539,8539,2009,1.0,commercial,1554.0,4,37.0,1,1995,9.0,2686.43,2686.43,2686.43,1
8540,8540,2013,7.0,commercial,1869.0,5,117.0,4,1987,24.9,8630.59,8630.59,8630.59,2
8541,8541,2013,2.0,commercial,334.0,8,37.0,4,2001,14.3,709.7,709.7,709.7,2
8542,8542,2013,11.0,factory,323.0,5,117.0,3,1963,13.6,669.09,669.09,669.09,3
8543,8543,2012,12.0,commercial,437.0,1,-7.0,3,1960,9.0,1254.59,1254.59,1254.59,2
8544,8544,2005,7.0,commercial,439.0,3,19.0,5,1958,23.8,180.05,180.05,180.05,2
8545,8545,2014,5.0,education,585.0,8,12.0,3,1924,24.3,940.12,940.12,940.12,2
8546,8546,2007,6.0,education,349.0,1,55.0,3,2003,25.2,1273.99,1273.99,1273.99,3
8547,8547,2014,2.0,education,457.0,4,37.0,6,1961,9.2,4062.99,4062.99,4062.99,1
8548,8548,2006,1.0,factory,819.0,3,37.0,6,2006,8.5,4196.6,4196.6,4196.6,3
8549,8549,2009,6.0,office,464.0,5,55.0,18,1947,23.5,6198.35,6198.35,6198.35,2
8550,8550,2013,7.0,factory,819.0,3,37.0,6,2006,22.9,195.37,195.37,195.37,2
8551,8551,2014,3.0,commercial,624.0,6,55.0,6,1978,19.4,3087.3,3087.3,3087.3,2
8552,8552,2014,4.0,commercial,575.0,6,19.0,5,1979,21.2,2370.72,2370.72,2370.72,2
8553,8553,2008,10.0,factory,379.0,2,117.0,1,1973,16.4,315.18,315.18,315.18,1
8554,8554,2005,4.0,office,843.0,4,203.0,4,1941,21.6,3314.0,3314.0,3314.0,3
8555,8555,2012,3.0,factory,953.0,2,-7.0,1,1982,17.4,642.57,642.57,642.57,3
8556,8556,2009,8.0,residential,1068.0,1,12.0,11,1946,22.9,8259.78,8259.78,8259.78,2
8557,8557,2011,10.0,office,601.0,1,19.0,15,1934,17.3,8582.28,8582.28,8582.28,1
8558,8558,2005,10.0,commercial,411.0,8,19.0,4,1987,16.6,2088.41,2088.41,2088.41,3
8559,8559,2005,11.0,commercial,657.0,5,337.0,1,1964,14.3,872.24,872.24,872.24,2
8560,8560,2005,11.0,commercial,854.0,4,337.0,1,1936,13.5,1335.53,1335.53,1335.53,3
8561,8561,2009,8.0,commercial,290.0,2,51.0,4,2003,22.7,1107.57,1107.57,1107.57,2
8562,8562,2005,5.0,education,529.0,1,55.0,4,1974,25.0,1322.42,1322.42,1322.42,2
8563,8563,2010,10.0,education,451.0,5,203.0,4,1978,18.3,1963.6,1963.6,1963.6,2
8564,8564,2013,8.0,commercial,975.0,2,12.0,3,1994,24.8,3490.99,3490.99,3490.99,2
8565,8565,2009,6.0,factory,579.0,7,337.0,1,1929,24.3,309.62,309.62,309.62,2
8566,8566,2013,2.0,residential,591.0,5,-7.0,20,1964,14.9,9649.3,9649.3,9649.3,2
8567,8567,2014,8.0,factory,388.0,2,337.0,1,1941,21.6,4851.541864684603,4851.541864684603,4851.541864684603,2
8568,8568,2013,10.0,education,320.0,2,203.0,5,1944,16.5,1374.91,1374.91,1374.91,2
8569,8569,2007,12.0,commercial,351.0,3,203.0,5,1946,6.5,2476.66,2476.66,2476.66,1
8570,8570,2012,11.0,commercial,429.0,8,51.0,1,1963,14.3,671.1,671.1,671.1,3
8571,8571,2012,1.0,office,577.0,6,203.0,3,1941,8.9,2423.4,2423.4,2423.4,1
8572,8572,2010,1.0,factory,819.0,3,37.0,6,2006,6.2,4118.34,4118.34,4118.34,3
8573,8573,2012,2.0,commercial,448.0,1,-7.0,6,1987,15.0,4636.26,4636.26,4636.26,1
8574,8574,2014,3.0,education,1107.0,4,203.0,4,1927,15.5,2800.27,2800.27,2800.27,2
8575,8575,2008,1.0,education,1919.0,3,37.0,6,1962,9.2,13230.97,13230.97,13230.97,1
8576,8576,2010,7.0,residential,800.0,7,203.0,2,1978,25.4,1761.98,1761.98,1761.98,1
8577,8577,2011,11.0,education,399.0,5,12.0,4,1975,14.9,1579.27,1579.27,1579.27,2
8578,8578,2011,10.0,commercial,1231.0,5,55.0,5,1935,16.5,8343.32,8343.32,8343.32,1
8579,8579,2014,2.0,office,582.0,4,37.0,3,1975,16.3,1028.39,1028.39,1028.39,2
8580,8580,2005,12.0,commercial,394.0,1,37.0,11,1940,7.0,5460.84,5460.84,5460.84,1
8581,8581,2009,8.0,factory,641.0,6,337.0,5,1963,21.8,2557.59,2557.59,2557.59,1
8582,8582,2005,3.0,education,399.0,5,12.0,4,1975,17.2,1450.02,1450.02,1450.02,3
8583,8583,2007,12.0,commercial,622.0,3,51.0,1,1966,5.8,43.73,43.73,43.73,2
8584,8584,2011,7.0,factory,287.0,8,203.0,5,1923,24.2,528.48,528.48,528.48,2
8585,8585,2011,9.0,office,356.0,1,55.0,25,1952,19.9,10964.8,10964.8,10964.8,1
8586,8586,2014,11.0,factory,320.0,8,37.0,3,1990,14.6,814.63,814.63,814.63,3
8587,8587,2009,5.0,office,656.6619098651926,8,203.0,11,1927,22.1,2738.53,2738.53,2738.53,2
8588,8588,2013,11.0,education,453.0,5,55.0,2,1937,12.3,1202.24,1202.24,1202.24,3
8589,8589,2014,11.0,office,286.0,3,55.0,15,1937,14.3,263.32,263.32,263.32,2
8590,8590,2012,3.0,education,457.0,4,37.0,6,1961,19.2,2142.05,2142.05,2142.05,2
8591,8591,2010,2.0,commercial,615.0,6,172.0,5,1998,14.3,3824.65,3824.65,3824.65,3
8592,8592,2014,5.0,factory,452.0,5,-7.0,2,1939,26.7,475.22,475.22,475.22,2
8593,8593,2007,10.0,commercial,877.0,2,55.0,2,1984,16.6,1590.98,1590.98,1590.98,2
8594,8594,2014,6.0,residential,464.0,3,12.0,3,2001,24.1,48.93,48.93,48.93,2
8595,8595,2007,9.0,residential,591.0,5,-7.0,20,1964,20.7,9210.7,9210.7,9210.7,2
8596,8596,2010,1.0,factory,625.0,2,51.0,1,1975,8.2,606.9,606.9,606.9,3
8597,8597,2009,2.0,education,439.0,1,19.0,6,1989,12.7,2366.33,2366.33,2366.33,2
8598,8598,2013,6.0,residential,1085.0,5,37.0,7,1928,25.3,4870.5,4870.5,4870.5,3
8599,8599,2013,9.0,factory,1515.0,3,117.0,6,1934,21.2,8246.45,8246.45,8246.45,1
8600,8600,2006,11.0,commercial,365.0,3,203.0,2,1963,15.9,1236.21,1236.21,1236.21,1
8601,8601,2013,2.0,commercial,157.0,6,12.0,3,1921,12.6,696.53,696.53,696.53,3
8602,8602,2005,8.0,commercial,539.0,6,172.0,4,2009,24.1,2152.12,2152.12,2152.12,2
8603,8603,2012,10.0,office,1249.0,6,12.0,9,1940,18.6,7317.89,7317.89,7317.89,2
8604,8604,2014,8.0,residential,233.0,7,51.0,12,1949,25.0,2208.14,2208.14,2208.14,3
8605,8605,2014,9.0,residential,350.0,3,19.0,22,1963,18.9,444.7,444.7,444.7,2
8606,8606,2006,7.0,commercial,277.0,2,12.0,5,2009,22.8,2747.18,2747.18,2747.18,1
8607,8607,2010,10.0,education,1919.0,3,37.0,6,1962,16.0,11452.07,11452.07,11452.07,3
8608,8608,2006,5.0,commercial,203.0,6,117.0,4,1953,22.3,886.7,886.7,886.7,3
8609,8609,2009,12.0,commercial,277.0,2,12.0,5,2009,6.5,1520.76,1520.76,1520.76,2
8610,8610,2010,4.0,commercial,312.0,4,172.0,3,1959,18.7,1849.24,1849.24,1849.24,1
8611,8611,2014,1.0,office,1296.0,3,12.0,20,2008,6.2,1590.97,1590.97,1590.97,2
8612,8612,2008,8.0,residential,1068.0,1,12.0,11,1946,23.4,11249.88,11249.88,11249.88,1
8613,8613,2005,5.0,residential,648.0,8,172.0,29,1937,21.2,16489.98,16489.98,16489.98,3
8614,8614,2013,3.0,commercial,547.0,6,37.0,5,1992,15.4,2848.78,2848.78,2848.78,2
8615,8615,2009,12.0,office,489.0,2,19.0,18,2005,4.7,10301.86,10301.86,10301.86,1
8616,8616,2005,1.0,commercial,334.0,8,37.0,4,2001,6.3,2328.42,2328.42,2328.42,3
8617,8617,2006,8.0,office,176.0,6,55.0,24,1972,22.7,2749.82,2749.82,2749.82,2
8618,8618,2007,5.0,residential,256.0,8,-7.0,19,2005,25.5,3926.71,3926.71,3926.71,3
8619,8619,2010,6.0,commercial,854.0,4,337.0,1,1936,25.2,1335.72,1335.72,1335.72,1
8620,8620,2005,9.0,commercial,290.0,2,-7.0,5,1981,19.3,2500.96,2500.96,2500.96,1
8621,8621,2010,1.0,office,804.0,1,337.0,18,1995,10.1,11305.53,11305.53,11305.53,2
8622,8622,2005,3.0,commercial,624.0,6,55.0,6,1978,15.6,4613.4,4613.4,4613.4,3
8623,8623,2011,5.0,residential,313.0,3,-7.0,7,1978,19.2,1638.7,1638.7,1638.7,3
8624,8624,2014,1.0,residential,623.0,8,337.0,26,1993,8.2,6182.32,6182.32,6182.32,2
8625,8625,2012,5.0,commercial,260.0,4,117.0,4,2009,21.9,1128.4,1128.4,1128.4,2
8626,8626,2009,12.0,education,473.0,2,337.0,5,1995,6.6,3230.89,3230.89,3230.89,3
8627,8627,2008,5.0,residential,228.0,1,55.0,22,1960,24.0,3873.36,3873.36,3873.36,3
8628,8628,2013,6.0,factory,788.0,4,117.0,6,1998,26.2,2308.45,2308.45,2308.45,2
8629,8629,2010,6.0,residential,317.0,6,203.0,28,1999,23.1,7165.59,7165.59,7165.59,3
8630,8630,2008,10.0,residential,1172.0,8,12.0,2,1997,17.0,2267.06,2267.06,2267.06,1
8631,8631,2005,4.0,commercial,1571.0,5,-7.0,6,1990,20.0,12777.28,12777.28,12777.28,1
8632,8632,2010,3.0,commercial,239.0,7,117.0,6,1959,18.6,1957.41,1957.41,1957.41,3
8633,8633,2006,1.0,commercial,575.0,6,19.0,5,1979,5.7,4057.2,4057.2,4057.2,1
8634,8634,2009,2.0,residential,1068.0,1,12.0,11,1946,8.7,6883.15,6883.15,6883.15,2
8635,8635,2009,11.0,commercial,488.0,2,55.0,5,1995,13.8,3354.74,3354.74,3354.74,3
8636,8636,2005,6.0,commercial,442.0,1,172.0,5,1953,24.1,1913.48,1913.48,1913.48,2
8637,8637,2006,10.0,commercial,411.0,8,19.0,4,1987,19.2,4851.541864684603,4851.541864684603,4851.541864684603,3
8638,8638,2010,6.0,office,331.0,1,55.0,19,1964,25.5,4851.541864684603,4851.541864684603,4851.541864684603,1
8639,8639,2014,11.0,office,623.0,2,172.0,8,1974,13.9,5283.12,5283.12,5283.12,3
8640,8640,2008,12.0,commercial,551.0,1,203.0,3,1927,8.9,2852.65,2852.65,2852.65,3
8641,8641,2011,11.0,residential,982.0,8,55.0,28,1959,12.9,25193.81,25193.81,25193.81,1
8642,8642,2007,12.0,factory,1005.0,4,172.0,6,1953,6.8,6116.23,6116.23,6116.23,1
8643,8643,2009,4.0,commercial,1029.0,5,117.0,4,1956,21.1,4989.26,4989.26,4989.26,2
8644,8644,2007,5.0,factory,833.0,2,117.0,4,1935,23.0,2465.76,2465.76,2465.76,3
8645,8645,2010,11.0,education,480.0,4,51.0,2,1951,15.3,857.09,857.09,857.09,2
8646,8646,2007,8.0,education,480.0,4,51.0,2,1951,23.8,821.38,821.38,821.38,2
8647,8647,2008,4.0,factory,788.0,4,117.0,6,1998,22.6,2308.45,2308.45,2308.45,2
8648,8648,2006,7.0,residential,1186.0,3,117.0,5,1999,24.8,327.59,327.59,327.59,2
8649,8649,2012,9.0,factory,788.0,4,117.0,6,1998,20.4,4170.1,4170.1,4170.1,1
8650,8650,2007,11.0,office,356.0,1,55.0,25,1952,13.3,11296.72,11296.72,11296.72,3
8651,8651,2013,12.0,factory,923.0,8,12.0,3,1975,6.7,2231.76,2231.76,2231.76,1
8652,8652,2010,2.0,commercial,215.0,4,37.0,6,1981,11.7,1343.66,1343.66,1343.66,2
8653,8653,2009,4.0,commercial,317.0,8,51.0,2,1976,20.4,1054.26,1054.26,1054.26,1
8654,8654,2011,10.0,office,279.0,6,12.0,18,1945,18.0,5343.41,5343.41,5343.41,1
8655,8655,2010,5.0,office,956.0,2,51.0,13,2002,22.7,9747.28,9747.28,9747.28,2
8656,8656,2012,1.0,residential,317.0,6,12.0,23,1945,8.3,4475.22,4475.22,4475.22,2
8657,8657,2006,1.0,factory,240.0,3,37.0,5,1957,7.5,1179.36,1179.36,1179.36,1
8658,8658,2014,9.0,office,976.0,3,19.0,26,2001,21.4,21376.74,21376.74,21376.74,3
8659,8659,2008,6.0,factory,323.0,5,117.0,3,1963,22.0,689.17,689.17,689.17,2
8660,8660,2014,3.0,commercial,305.0,2,55.0,4,1997,16.2,2209.47,2209.47,2209.47,1
8661,8661,2012,12.0,office,123.0,5,12.0,23,1963,6.7,2915.99,2915.99,2915.99,2
8662,8662,2010,10.0,office,843.0,4,203.0,4,1941,16.6,1881.58,1881.58,1881.58,2
8663,8663,2013,1.0,factory,656.6619098651926,3,203.0,1,1971,8.3,154.86,154.86,154.86,3
8664,8664,2007,3.0,residential,880.0,5,12.0,8,2000,17.9,7053.3,7053.3,7053.3,2
8665,8665,2012,7.0,factory,641.0,6,337.0,5,1963,25.7,1874.92,1874.92,1874.92,3
8666,8666,2009,3.0,commercial,284.0,1,172.0,2,1976,18.2,543.56,543.56,543.56,2
8667,8667,2010,8.0,commercial,230.0,6,203.0,4,1967,23.9,904.18,904.18,904.18,3
8668,8668,2007,1.0,residential,800.0,7,203.0,2,1978,8.7,1180.73,1180.73,1180.73,2
8669,8669,2009,8.0,factory,923.0,8,12.0,3,1975,23.1,1781.85,1781.85,1781.85,3
8670,8670,2011,11.0,office,968.0,3,-7.0,3,1965,14.5,3201.43,3201.43,3201.43,3
8671,8671,2005,5.0,commercial,357.0,7,337.0,6,1921,23.6,3669.33,3669.33,3669.33,1
8672,8672,2006,8.0,commercial,239.0,7,117.0,6,1959,23.5,1574.56,1574.56,1574.56,2
8673,8673,2007,4.0,commercial,2080.0,2,117.0,6,2006,19.9,15740.52,15740.52,15740.52,3
8674,8674,2005,1.0,commercial,252.0,8,337.0,5,1976,6.8,4851.541864684603,4851.541864684603,4851.541864684603,1
8675,8675,2014,12.0,education,480.0,4,51.0,2,1951,8.4,749.95,749.95,749.95,2
8676,8676,2008,7.0,commercial,1231.0,5,55.0,5,1935,25.3,7025.96,7025.96,7025.96,1
8677,8677,2009,1.0,education,581.0,7,337.0,5,1984,8.0,4265.47,4265.47,4265.47,1
8678,8678,2012,4.0,office,1218.0,5,172.0,23,1959,20.7,21861.85,21861.85,21861.85,3
8679,8679,2012,7.0,commercial,1178.0,4,117.0,3,1930,24.9,3527.64,3527.64,3527.64,2
8680,8680,2007,4.0,residential,1068.0,1,12.0,11,1946,19.0,8935.73,8935.73,8935.73,3
8681,8681,2011,6.0,commercial,501.0,8,117.0,6,2009,21.5,5236.6,5236.6,5236.6,1
8682,8682,2008,5.0,office,258.0,4,117.0,11,1950,22.9,2023.49,2023.49,2023.49,2
8683,8683,2011,5.0,education,403.0,5,337.0,6,1954,22.7,2067.48,2067.48,2067.48,3
8684,8684,2012,4.0,commercial,501.0,8,117.0,6,2009,21.0,4998.57,4998.57,4998.57,1
8685,8685,2008,7.0,office,843.0,4,203.0,4,1941,24.4,4560.29,4560.29,4560.29,1
8686,8686,2014,12.0,commercial,954.0,8,117.0,27,1943,8.1,28239.74,28239.74,28239.74,3
8687,8687,2006,8.0,education,1013.0,4,117.0,6,1977,24.2,6570.8,6570.8,6570.8,3
8688,8688,2008,12.0,office,423.0,7,37.0,4,1991,8.6,1327.04,1327.04,1327.04,2
8689,8689,2005,11.0,commercial,349.0,6,172.0,3,1958,11.9,4851.541864684603,4851.541864684603,4851.541864684603,3
8690,8690,2011,10.0,commercial,831.0,8,172.0,2,1933,16.0,986.75,986.75,986.75,2
8691,8691,2013,7.0,education,337.0,8,203.0,1,1940,23.8,362.75,362.75,362.75,3
8692,8692,2005,6.0,factory,218.0,4,37.0,6,1990,24.8,763.27,763.27,763.27,3
8693,8693,2013,12.0,office,1122.0,6,37.0,27,1958,9.1,37322.21,37322.21,37322.21,1
8694,8694,2008,11.0,factory,342.0,4,172.0,2,1984,14.4,538.94,538.94,538.94,3
8695,8695,2011,6.0,commercial,575.0,6,19.0,5,1979,25.3,2994.6,2994.6,2994.6,2
8696,8696,2007,5.0,commercial,608.0,1,203.0,6,1950,20.2,5393.2,5393.2,5393.2,1
8697,8697,2009,9.0,commercial,529.0,8,117.0,2,1938,20.0,1213.1,1213.1,1213.1,3
8698,8698,2011,6.0,education,338.0,4,117.0,5,2007,24.2,2623.42,2623.42,2623.42,1
8699,8699,2010,1.0,office,843.0,4,203.0,4,1941,8.2,5063.66,5063.66,5063.66,3
8700,8700,2012,9.0,residential,233.0,7,51.0,12,1949,19.3,3403.18,3403.18,3403.18,1
8701,8701,2011,10.0,commercial,425.0,8,117.0,3,1956,18.2,1615.35,1615.35,1615.35,1
8702,8702,2010,7.0,office,968.0,3,-7.0,3,1965,25.2,137.74,137.74,137.74,2
8703,8703,2014,10.0,commercial,388.0,4,37.0,3,1970,17.5,1528.5,1528.5,1528.5,3
8704,8704,2012,7.0,factory,218.0,4,37.0,6,1990,22.1,4851.541864684603,4851.541864684603,4851.541864684603,2
8705,8705,2013,5.0,office,804.0,1,337.0,18,1995,20.6,13545.79,13545.79,13545.79,3
8706,8706,2013,11.0,residential,982.0,8,55.0,28,1959,9.0,30792.44,30792.44,30792.44,1
8707,8707,2012,5.0,commercial,367.0,2,-7.0,6,1974,24.5,3987.91,3987.91,3987.91,1
8708,8708,2006,2.0,factory,371.0,5,-7.0,6,1953,12.6,1616.48,1616.48,1616.48,1
8709,8709,2007,12.0,factory,497.0,3,51.0,6,1957,7.6,2817.99,2817.99,2817.99,1
8710,8710,2008,5.0,commercial,501.0,8,117.0,6,2009,21.7,3446.68,3446.68,3446.68,3
8711,8711,2013,1.0,factory,368.0,7,-7.0,1,1932,9.4,216.47,216.47,216.47,2
8712,8712,2012,9.0,residential,313.0,3,-7.0,7,1978,19.3,2285.83,2285.83,2285.83,1
8713,8713,2011,9.0,education,425.0,5,-7.0,4,1932,22.1,2287.08,2287.08,2287.08,1
8714,8714,2013,8.0,commercial,476.0,7,37.0,4,2003,23.4,3776.62,3776.62,3776.62,1
8715,8715,2009,10.0,education,650.0,1,12.0,2,1999,15.3,1834.56,1834.56,1834.56,1
8716,8716,2006,1.0,residential,177.0,5,337.0,25,1947,9.0,3766.37,3766.37,3766.37,3
8717,8717,2011,11.0,factory,388.0,2,337.0,1,1941,12.5,394.36,394.36,394.36,1
8718,8718,2010,4.0,commercial,123.0,5,12.0,23,1963,20.5,2399.7,2399.7,2399.7,3
8719,8719,2010,7.0,factory,368.0,7,-7.0,1,1932,24.3,355.49,355.49,355.49,1
8720,8720,2009,11.0,factory,368.0,7,-7.0,1,1932,13.3,206.63,206.63,206.63,2
8721,8721,2014,3.0,commercial,448.0,1,-7.0,6,1987,15.7,3858.89,3858.89,3858.89,3
8722,8722,2012,10.0,commercial,877.0,2,55.0,2,1984,18.9,1423.51,1423.51,1423.51,2
8723,8723,2009,8.0,office,821.0,3,51.0,8,1993,22.0,4380.2,4380.2,4380.2,3
8724,8724,2009,7.0,commercial,301.0,2,337.0,3,1992,25.9,1479.62,1479.62,1479.62,1
8725,8725,2005,9.0,factory,368.0,7,-7.0,1,1932,20.1,355.49,355.49,355.49,1
8726,8726,2007,9.0,factory,641.0,6,337.0,5,1963,21.5,1713.87,1713.87,1713.87,2
8727,8727,2006,12.0,education,351.0,6,117.0,1,1979,7.0,446.38,446.38,446.38,3
8728,8728,2013,9.0,commercial,547.0,7,203.0,1,1979,22.4,986.35,986.35,986.35,1
8729,8729,2006,10.0,residential,689.0,5,51.0,22,1931,16.5,9561.95,9561.95,9561.95,2
8730,8730,2010,9.0,office,464.0,5,55.0,18,1947,19.0,9297.53,9297.53,9297.53,2
8731,8731,2013,4.0,education,457.0,4,37.0,6,1961,21.2,4062.99,4062.99,4062.99,1
8732,8732,2013,4.0,factory,306.0,6,337.0,5,1989,22.4,850.3,850.3,850.3,3
8733,8733,2008,1.0,factory,407.0,4,-7.0,4,1979,10.5,1579.49,1579.49,1579.49,1
8734,8734,2009,12.0,office,286.0,3,55.0,15,1937,4.4,5405.4,5405.4,5405.4,1
8735,8735,2011,3.0,office,356.0,1,55.0,25,1952,18.4,6083.6,6083.6,6083.6,2
8736,8736,2012,2.0,commercial,624.0,6,55.0,6,1978,15.1,7044.71,7044.71,7044.71,1
8737,8737,2005,9.0,residential,228.0,1,55.0,22,1960,18.2,3757.15,3757.15,3757.15,3
8738,8738,2005,12.0,education,1919.0,3,37.0,6,1962,5.8,16043.28,16043.28,16043.28,3
8739,8739,2012,12.0,office,804.0,1,337.0,18,1995,9.4,18449.93,18449.93,18449.93,3
8740,8740,2008,9.0,commercial,657.0,6,-7.0,1,1963,20.4,598.79,598.79,598.79,2
8741,8741,2006,3.0,office,1296.0,3,12.0,20,2008,16.4,20197.38,20197.38,20197.38,3
8742,8742,2006,2.0,commercial,411.0,8,19.0,4,1987,10.5,2603.57,2603.57,2603.57,1
8743,8743,2014,8.0,factory,1515.0,3,117.0,6,1934,21.9,399.44,399.44,399.44,2
8744,8744,2010,12.0,education,650.0,1,12.0,2,1999,8.5,2074.46,2074.46,2074.46,3
8745,8745,2008,6.0,office,1260.0,6,55.0,4,1937,26.1,3593.52,3593.52,3593.52,2
8746,8746,2008,12.0,residential,179.0,3,12.0,7,1978,7.2,69.22,69.22,69.22,2
8747,8747,2005,10.0,education,488.0,6,172.0,4,2006,15.1,1946.47,1946.47,1946.47,3
8748,8748,2008,11.0,commercial,657.0,2,19.0,5,1972,12.7,5665.97,5665.97,5665.97,1
